ATT_ID	NAME_TXT	DESC_TXT	INITIATIVE	SOURCE	CLASS	POWER	REACH	QTY_HEAL	QTY_DAM	LEVEL	ALT_ATTACK	INFINITE	QTY_WARDS	WARD1	WARD2	WARD3	WARD4	CRIT_HIT
g000aa0001	x000tg5001	x000tg5001	50	0	1	80	3	0	25	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0002	x000tg5002	x000tg5002	50	0	1	80	3	0	50	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0003	x000tg5003	x000tg5003	50	0	1	80	3	0	75	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0004	x000tg5004	x000tg5004	50	0	1	80	3	0	50	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0005	x000tg5005	x000tg5005	50	0	1	80	3	0	75	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0006	x000tg5006	x000tg5006	60	0	1	80	2	0	25	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0007	x000tg5007	x000tg5007	60	0	1	80	2	0	40	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0008	x000tg5008	x000tg5008	40	7	1	80	1	0	15	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0009	x000tg5009	x000tg5009	40	7	1	80	1	0	30	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0010	x000tg5010	x000tg5010	40	7	1	80	1	0	45	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0011	x000tg5011	x000tg5011	10	2	6	100	2	20	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0012	x000tg5011	x000tg5011	10	2	6	100	2	17	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0013	x000tg5011	x000tg5011	10	2	6	100	2	30	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0014	x000tg5014	x000tg5014	55	1	1	80	3	0	115	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0015	x000tg5015	x000tg5015	50	0	1	80	3	0	100	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0016	x000tg5011	x000tg5011	10	2	6	100	1	20	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0017	x000tg5011	x000tg5011	10	2	6	100	1	35	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0018	x000tg5018	x000tg5018	50	0	1	85	3	0	60	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0019	x000tg5019	x000tg5019	50	0	1	80	3	0	25	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0020	x000tg5020	x000tg5020	60	0	1	80	2	0	22	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	True
g000aa0021	x000tg5021	x000tg5021	40	7	1	70	1	0	15	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0022	x000tg5011	x000tg5011	10	2	6	100	2	20	0	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0023	x000tg5023	x000tg5023	60	0	1	80	3	0	30	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0024	x000tg5024	x000tg5024	55	0	1	80	3	0	75	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0025	x000tg5025	x000tg5025	70	6	1	80	1	0	70	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0026	x000tg5026	x000tg5026	45	0	1	80	2	0	25	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0027	x000tg5027	x000tg5027	45	0	1	80	2	0	45	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0028	x000tg5028	x000tg5028	40	4	1	80	1	0	5	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0029	x000tg5029	x000tg5029	30	6	1	85	3	0	60	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0030	x000tg5030	x000tg5030	30	6	1	85	3	0	90	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0031	x000tg5031	x000tg5031	20	7	1	80	1	0	50	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0032	x000tg5032	x000tg5032	30	5	1	85	3	0	120	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0033	x000tg5033	x000tg5033	70	2	8	100	2	0	0	1	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0034	x000tg5034	x000tg5034	70	2	8	100	2	0	0	2	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0035	x080tg0008	x080tg0008	70	2	8	100	2	0	0	3	g000000000	True	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0036	x000tg5036	x000tg5036	40	0	1	80	3	0	30	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0037	x000tg5037	x000tg5037	40	0	1	80	3	0	55	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0038	x000tg5038	x000tg5038	40	0	1	80	3	0	80	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0039	x000tg5039	x000tg5039	30	0	1	80	3	0	50	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0040	x000tg5040	x000tg5040	40	0	1	80	3	0	110	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0041	x000tg5041	x000tg5041	40	5	1	80	1	0	35	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
g000aa0043	x000tg5043	x000tg5043	40	5	1	80	1	0	5	0	g000000000	False	0	g000000000	g000000000	g000000000	g000000000	False
