UPGRADE_ID	ENROLL_C	HIT_POINT	ARMOR	REGEN	REVIVE_C	HEAL_C	TRAINING_C	XP_KILLED	XP_NEXT	MOVE	NEGOTIATE	DAMAGE	HEAL	INITIATIVE	POWER
g000DU0001	g0005:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	2	0	1	2	3	0	0	1
g000DU0002	g0030:r0000:y0000:e0000:w0000	15	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	6	0	0	0	5	0	0	1
g000DU0003	g0085:r0000:y0000:e0000:w0000	10	1	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	17	75	0	0	10	0	1	1
g000DU0004	g0050:r0000:y0000:e0000:w0000	15	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	50	0	0	10	0	0	1
g000DU0005	g0085:r0000:y0000:e0000:w0000	15	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	9	0	0	0	8	0	0	1
g000DU0006	g0005:r0000:y0000:e0000:w0000	5	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	2	0	0	0	3	0	0	1
g000DU0007	g0025:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	18	50	0	0	10	0	0	2
g000DU0008	g0005:r0000:y0000:e0000:w0000	5	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	1	0	0	0	2	0	0	1
g000DU0009	g0025:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	5	0	0	0	3	0	0	1
g000DU0010	g0065:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	12	0	1	2	5	0	0	1
g000DU0011	g0005:r0000:y0000:e0000:w0000	5	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	2	0	0	0	0	2	0	1
g000DU0012	g0025:r0000:y0000:e0000:w0000	8	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	6	50	0	0	0	3	0	1
g000DU0013	g0065:r0000:y0000:e0000:w0000	16	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	16	100	0	0	0	4	0	1
g000DU0014	g0180:r0000:y0000:e0000:w0000	20	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	28	0	1	2	15	0	0	1
g000DU0015	g0180:r0000:y0000:e0000:w0000	20	1	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	20	0	0	0	10	0	0	1
g000DU0016	g0025:r0000:y0000:e0000:w0000	8	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	6	50	0	0	0	3	0	1
g000DU0017	g0070:r0000:y0000:e0000:w0000	12	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	16	100	0	0	0	5	0	1
g000DU0018	g0100:r0000:y0000:e0000:w0000	35	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	35	175	1	2	20	0	0	1
g000DU0019	g0100:r0000:y0000:e0000:w0000	20	1	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	425	2	5	5	0	0	1
g000DU0020	g0100:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	400	2	5	3	0	0	2
g000DU0021	g0100:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	15	400	2	5	3	0	0	0
g000DU0022	g0100:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	10	300	2	5	0	5	0	1
g000DU0023	g0050:r0000:y0000:e0000:w0000	10	0	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	2	100	1	3	5	0	0	1
g000DU0024	g0170:r0000:y0000:e0000:w0000	0	10	0	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	g0000:r0000:y0000:e0000:w0000	10	100	1	2	15	0	0	1
