UNIT_ID	IMMUNITY	IMMUNECAT
g000uu0024	12	2
g000uu8015	25	2
g000uu0154	12	2
g000uu5354	12	2
g000uu8020	12	2
g000uu5352	25	2
g000uu5367	25	2
g000uu0167	25	2
g000uu5024	25	2
g000uu5124	25	2
g000uu0155	11	2
g000uu0169	11	3
g000uu0097	11	2
g001uu0097	11	2
g000uu8020	11	2
g000uu6002	3	3
g000uu6002	9	3
g000uu6102	3	3
g000uu6102	9	3
g000uu6002	22	3
g000uu6102	22	3
g000uu8001	3	3
g000uu8101	9	3
g000uu8101	3	3
g000uu8001	9	3
g000uu8001	22	3
g000uu8101	22	3
g000uu8002	3	3
g000uu8102	9	3
g000uu8002	9	3
g000uu8102	3	3
g000uu8002	22	3
g000uu8102	22	3
g000uu8004	3	3
g000uu8104	9	3
g000uu8004	9	3
g000uu8104	3	3
g000uu8004	22	3
g000uu8104	22	3
g000uu8007	3	3
g000uu8107	9	3
g000uu8007	9	3
g000uu8107	3	3
g000uu8007	22	3
g000uu8107	22	3
g000uu6011	3	3
g000uu6111	3	3
g000uu6011	22	3
g000uu6111	22	3
g000uu6010	3	3
g000uu6110	3	3
g000uu6010	22	3
g000uu6110	22	3
g000uu8049	3	3
g000uu8149	3	3
g000uu8049	22	3
g000uu8149	22	3
g000uu8050	3	3
g000uu8150	3	3
g000uu8050	22	3
g000uu8150	22	3
g000uu8050	9	3
g000uu8150	9	3
g000uu5214	10	3
g000uu0014	10	3
g003uu5014	10	2
g003uu5014	11	2
g000uu0039	23	2
g000uu6002	7	3
g000uu6102	7	3
g000uu8001	7	3
g000uu8101	7	3
g000uu8004	7	3
g000uu8104	7	3
g000uu8007	7	3
g000uu8107	7	3
g000uu6011	7	3
g000uu6111	7	3
g000uu6010	7	3
g000uu6110	7	3
g000uu8049	7	3
g000uu8149	7	3
g000uu8050	7	3
g000uu8150	7	3
g000uu8002	7	3
g000uu8102	7	3
g000uu5120	3	2
g000uu5020	3	2
g000uu5121	3	2
g000uu5021	3	2
g000uu5122	3	2
g000uu5022	3	2
g000uu5123	3	2
g000uu5023	3	2
g000uu5120	9	2
g000uu5020	9	2
g000uu5121	9	2
g000uu5021	9	2
g000uu5122	9	2
g000uu5022	9	2
g000uu5123	9	2
g000uu5023	9	2
g000uu5119	3	2
g000uu5019	9	2
g000uu5119	9	2
g000uu5019	3	2
