UNIT_ID	IMMUNITY	IMMUNECAT
g000uu0000	0	2
g000uu0024	1	2
g000uu0025	6	3
g000uu0085	0	2
g000uu0078	3	2
g000uu0079	3	2
g000uu0082	3	2
g000uu0083	3	2
g000uu0084	3	2
g000uu0087	3	2
g000uu0088	3	2
g000uu0089	3	2
g000uu0091	4	2
g000uu0095	3	2
g000uu0096	3	2
g000uu0098	3	2
g000uu0099	3	2
g000uu0101	3	2
g000uu0103	3	2
g000uu0104	3	2
g000uu0092	0	2
g000uu0097	3	2
g000uu0004	1	2
g000uu0005	1	2
g000uu5033	3	2
g000uu0090	4	2
g000uu0090	5	2
g000uu0090	6	2
g000uu0090	7	2
g000uu0091	5	2
g000uu0091	6	2
g000uu0091	7	2
g000uu0028	4	2
g000uu0051	6	3
g000uu0077	4	2
g000uu0107	4	2
g000uu0032	5	2
g000uu5279	3	2
g000uu5282	3	2
g000uu5283	3	2
g000uu5292	0	2
g000uu5284	3	2
g000uu5289	3	2
g000uu5295	3	2
g000uu0153	7	2
g000uu0157	1	2
g000uu0157	4	2
g000uu0159	5	2
g000uu0172	4	2
g000uu0174	3	2
g000uu0175	3	2
g000uu0176	3	2
g000uu0177	3	2
g000uu0178	3	2
g000uu0179	3	2
g000uu0180	3	2
g000uu0181	3	2
g000uu5006	7	2
g000uu5008	7	2
g000uu5019	4	2
g000uu5020	7	2
g000uu5021	5	2
g000uu5022	3	2
g000uu5023	4	2
g000uu5108	7	2
g000uu5119	4	2
g000uu5120	7	2
g000uu5121	5	2
g000uu5122	3	2
g000uu5123	4	2
g000uu5287	3	2
g000uu5380	3	2
g000uu6001	1	2
g000uu6001	3	2
g000uu6001	4	2
g000uu6001	5	2
g000uu6001	6	2
g000uu6001	7	2
g000uu6002	1	2
g000uu6002	3	2
g000uu6002	4	3
g000uu6002	5	2
g000uu6002	6	2
g000uu6002	7	2
g000uu6003	7	3
g000uu6011	4	3
g000uu6017	3	2
g000uu6018	1	3
g000uu0039	1	2
g000uu0043	5	2
g000uu0055	1	2
g000uu0056	1	2
g000uu0085	3	2
g000uu0167	1	2
g000uu5037	5	2
g000uu5137	5	2
g000uu5367	1	2
g000uu6007	1	3
g000uu6007	5	3
g000uu6009	4	2
g000uu6009	5	2
g000uu6009	6	2
g000uu6009	7	2
g000uu6010	1	2
g000uu6011	1	2
g000uu6017	1	3
g000uu6019	4	2
g000uu6019	5	2
g000uu6019	6	2
g000uu6019	7	2
g000uu0177	0	2
g000uu0178	0	2
g000uu6101	5	2
g000uu6101	6	2
g000uu6101	4	2
g000uu6101	3	2
g000uu6101	1	2
g000uu6101	7	2
g000uu6102	7	2
g000uu6102	3	2
g000uu6102	5	2
g000uu6102	4	3
g000uu6102	1	2
g000uu6102	6	2
g000uu6103	7	3
g000uu6107	1	3
g000uu6107	5	3
g000uu6109	4	2
g000uu6109	7	2
g000uu6109	5	2
g000uu6109	6	2
g000uu6110	1	2
g000uu6111	4	3
g000uu6111	1	2
g000uu6117	3	2
g000uu6117	1	3
g000uu6118	1	3
g000uu6119	4	2
g000uu6119	5	2
g000uu6119	6	2
g000uu6119	7	2
g000uu6020	4	2
g000uu6020	5	2
g000uu6020	6	2
g000uu6020	7	2
g000uu6120	4	2
g000uu6120	5	2
g000uu6120	6	2
g000uu6120	7	2
g000uu8002	3	2
g000uu8003	1	2
g000uu8004	1	2
g000uu8006	1	3
g000uu8007	1	2
g000uu8008	4	2
g000uu8001	1	2
g000uu8002	1	2
g000uu8006	3	2
g000uu8007	3	2
g000uu8008	1	3
g000uu8001	4	2
g000uu8101	1	2
g000uu8101	4	2
g000uu8102	3	2
g000uu8102	1	2
g000uu8103	1	2
g000uu8104	1	2
g000uu8106	1	3
g000uu8106	3	2
g000uu8107	1	2
