MODIF_ID	SOURCE
g000um0001	0
g000um0002	3
g000um0003	3
g000um0005	0
g111um9035	0
g000um0011	0
g000um0012	0
g000um0013	3
g000um0016	0
g000um0017	3
g000um0010	0
g000um0018	0
g000um0021	0
g000um0034	3
g000um0023	3
g000um0026	3
g000um0027	1
g000um0022	1
g000um0035	0
g000um0036	3
g000um0039	1
g000um0040	3
g000um0045	0
g000um0053	1
g000um0049	3
g000um0055	3
g000um0050	3
g000um0064	3
g000um0065	0
g000um0069	3
g000um0073	3
g000um0076	3
g000um0075	3
g000um0079	0
g000um2002	0
g000um2003	0
g000um2004	0
g000um2007	0
g000um2008	3
g000um2009	3
g000um2010	3
g000um2011	3
g000um2012	3
g000um2013	3
g000um2014	3
g000um2015	3
g000um2016	3
g000um2101	0
g000um2102	0
g000um2103	3
g000um2104	3
g000um2105	3
g000um2106	3
g000um2107	3
g000um2108	3
g000um2109	1
g000um2110	1
g000um2111	1
g000um2201	0
g000um2202	0
g000um2203	0
g000um2204	0
g000um2205	0
g000um2301	3
g000um2302	3
g000um2303	3
g000um2304	3
g000um2305	3
g000um2306	3
g000um2307	3
g000um2401	0
g000um2402	0
g000um2403	0
g000um3001	0
g000um3002	0
g000um3003	0
g000um3004	0
g000um3005	0
g000um4001	1
g000um4002	1
g000um4003	1
g000um4004	1
g000um4005	1
g000um4006	1
g000um4007	1
g000um4008	3
g000um4009	0
g000um4010	1
g000um4011	1
g000um4012	1
g000um4013	1
g000um4014	3
g000um4015	1
g000um2308	1
g000um6001	0
g000um2206	1
g000um2404	0
g000um4016	0
g000um4017	0
g000um4018	1
g000um0085	3
g000um0088	0
g000um0089	3
g000um0091	3
g000um0094	1
g000um2017	0
g000um2019	3
g000um2020	3
g000um2021	0
g000um2022	0
g000um2023	0
g000um2024	0
g000um2115	0
g000um2116	3
g000um2503	1
g000um2504	1
g000um2505	1
g000um4019	0
g000um4020	1
g000um4021	0
g000um4022	3
g000um4023	0
g000um4024	0
g000um2405	1
g000um2406	1
g000um2407	1
g000um7001	1
g000um9001	0
g000um9002	0
g000um9003	0
g000um9004	0
g000um9005	3
g000um9006	3
g000um9007	3
g000um9008	3
g000um9009	3
g000um9010	3
g000um9011	0
g000um9012	0
g000um9013	0
g000um9014	0
g000um9015	0
g000um9016	0
g000um9017	0
g000um9018	0
g000um9019	0
g000um9020	0
g000um9021	0
g000um9022	0
g000um9023	1
g000um9024	1
g000um9025	1
g000um9026	1
g000um9027	1
g000um9028	1
g000um9029	1
g000um9030	1
g000um9031	1
g000um9032	1
g000um9033	1
g000um9034	1
g000um9035	0
g000um9036	1
g000um9037	1
g000um2317	3
g000um4101	1
g000um4102	1
g000um7538	1
g000um7539	1
g000um7540	3
g000um7541	3
g000um7542	3
g000um7543	0
g000um7544	3
g000um7545	0
g001um0002	0
g000um4103	1
g000um7546	1
g000um7547	0
g000um7548	1
g001um0001	0
g001um0005	0
g001um9035	0
g100um9035	0
g201um9035	0
g200um9035	0
g200um9034	1
g200um9001	0
g200um9002	0
g100um9003	0
g100um9007	3
g200um9007	3
g100um7548	1
g100um9030	1
g200um7548	1
g201um9001	0
g100um0003	3
g100um0001	0
g100um0002	0
g101um0003	0
g100um0004	0
g100um0005	0
g100um0006	0
g100um0007	0
g100um0008	0
g100um0009	0
g100um0010	0
g101um0011	0
g100um0012	0
g100um0013	0
g100um0014	0
g100um0015	0
g100um0016	0
g100um0017	0
g100um0018	0
g100um0019	3
g100um0020	3
g100um0021	3
g100um0022	3
g100um0023	3
g100um0024	0
g100um0025	0
g100um0026	0
g100um0027	0
g100um0028	0
g100um0029	3
g100um0030	3
g100um0031	3
g001um2016	3
g001um2007	0
g001um2013	0
g100um0032	0
g001um2010	0
g100um2033	0
g100um2034	0
g100um2035	0
g001um2405	1
g001um2004	0
g100um2111	1
g200um0001	0
g200um0002	3
g200um0004	0
g200um0005	0
g200um0006	0
g200um0007	3
g200um0008	0
g200um0009	1
g200um0010	0
g200um0011	0
g200um0012	3
g200um0013	0
g200um0014	3
g200um0015	0
g090um0001	0
g010um0001	0
g010um0002	3
g010um0003	0
g010um0004	0
g011um0001	0
g011um0002	0
g011um0003	0
g011um0004	0
g002um0001	0
g002um0002	0
g002um0003	1
g002um0004	0
g002um0005	0
g002um0006	3
g002um0007	0
g002um0008	1
g002um0009	0
g002um0010	3
g002um0011	0
g002um0012	0
g011um0005	0
g011um0006	0
g011um0007	0
g011um0008	0
g011um0009	0
g002um0013	1
g002um0014	0
g002um0015	0
g002um0016	0
g002um0017	0
g002um0018	1
g002um0019	1
g002um0020	3
g002um0021	1
g002um0022	3
g002um0023	3
g002um0024	3
g002um0025	3
g002um0026	3
g002um0027	3
g003um0001	0
g003um0002	0
g003um0003	0
g003um0004	0
g003um0005	0
g003um0006	0
g003um0007	0
g003um0008	0
g003um0009	0
g002um0028	3
g002um0029	0
g002um0030	3
g002um0031	3
g002um0032	3
g002um0033	0
g002um0034	0
g002um0035	3
g002um0036	3
g002um0037	3
g002um0038	3
g002um0039	0
g002um0040	0
g002um0041	0
g002um0042	0
g004um0001	0
g004um0002	0
g004um0003	3
g004um0004	3
g004um0005	3
g004um0006	0
g002um0043	1
g201um9036	1
g201um9037	1
g002um0044	0
g002um0045	0
g002um0046	0
g002um0047	0
g002um0048	0
g002um0049	0
g002um0050	0
g002um0051	0
g002um0052	3
g002um0053	3
g201um9038	3
g201um9039	3
g201um9040	1
g201um9041	1
g002um0054	3
g002um0055	3
g000um4025	0
g000um4026	0
g002um0056	3
g002um0057	3
g002um0058	3
g002um0059	0
g002um0060	3
g002um0061	0
g002um0062	3
g002um0063	0
g201um9042	1
g201um9043	1
g024um0001	0
g024um0005	0
g024um0010	0
g024um0011	0
g024um0016	0
g024um0018	0
g024um2106	3
g024um7546	1
g024um0002	0
g012um0001	0
g002um0064	3
g002um0065	3
g002um0066	3
g000um4027	1
g002um0067	0
g002um0068	3
