BELONGS_TO	DESC	TYPE	PERCENT	NUMBER	ABILITY	IMMUNITY	IMMUNECAT	MOVE	IMMUNITYC	IMMUNECATC
g000um0001	x000tgc001	12	0	0	0	7	2	0	0	0
g000um0002	x000tgc002	9	10	0	0	0	2	0	0	0
g000um0003	x000tgc003	4	10	0	0	0	2	0	0	0
g000um0004	x000tgc004	12	0	0	0	7	2	0	0	0
g000um0005	x000tgc005	12	0	0	0	5	2	0	0	0
g000um0008	x000tgc008	12	0	0	0	5	2	0	0	0
g000um0010	x000tgc010	12	0	0	0	6	2	0	0	0
g000um0012	x000tgc012	5	0	20	0	0	2	0	0	0
g000um0014	x000tgc014	12	0	0	0	1	2	0	0	0
g000um0015	x000tgc015	12	0	0	0	1	2	0	0	0
g000um0016	x000tgc016	12	0	0	0	4	2	0	0	0
g000um0019	x000tgc019	12	0	0	0	6	2	0	0	0
g000um0021	x000tgc021	5	0	10	0	0	2	0	0	0
g000um0023	x000tgc023	4	10	0	0	0	2	0	0	0
g000um0026	x000tgc026	9	15	0	0	0	2	0	0	0
g000um0027	x000tgc027	10	0	0	0	0	2	3	0	0
g000um0022	x000tgc022	10	0	0	0	0	2	1	0	0
g000um0035	x000tgc035	5	0	33	0	0	2	0	0	0
g000um0036	x000tgc036	3	33	0	0	0	2	0	0	0
g000um0045	x000tgc045	5	0	-10	0	0	2	0	0	0
g000um0049	x000tgc049	4	-15	0	0	0	2	0	0	0
g000um0050	x000tgc050	9	-15	0	0	0	2	0	0	0
g000um0055	x000tgc055	3	-33	0	0	0	2	0	0	0
g000um0075	x000tgc075	9	-33	0	0	0	2	0	0	0
g000um0079	x000tgc079	12	0	0	0	0	2	0	0	0
g000um0011	x000tgc011	12	0	0	0	1	2	0	0	0
g000um0017	x000tgc017	4	33	0	0	0	2	0	0	0
g000um0034	x000tgc034	3	25	0	0	0	2	0	0	0
g000um0069	x000tgc069	4	-15	0	0	0	2	0	0	0
g000um2002	x000tg6000	5	0	15	0	0	2	0	0	0
g000um2003	x000tg6000	5	0	30	0	0	2	0	0	0
g000um2004	x000tg6000	5	0	10	0	0	2	0	0	0
g000um2008	x000tg6000	3	15	0	0	0	2	0	0	0
g000um2009	x000tg6000	3	30	0	0	0	2	0	0	0
g000um2010	x000tg6000	3	10	0	0	0	2	0	0	0
g000um2011	x000tg6000	9	15	0	0	0	2	0	0	0
g000um2012	x000tg6000	9	30	0	0	0	2	0	0	0
g000um2013	x000tg6000	9	10	0	0	0	2	0	0	0
g000um2014	x000tg6000	4	15	0	0	0	2	0	0	0
g000um2015	x000tg6000	4	30	0	0	0	2	0	0	0
g000um2016	x000tg6000	4	10	0	0	0	2	0	0	0
g000um2101	x000tg6000	5	0	10	0	0	2	0	0	0
g000um2102	x000tg6000	5	0	15	0	0	2	0	0	0
g000um2103	x000tg6000	3	10	0	0	0	2	0	0	0
g000um2104	x000tg6000	3	15	0	0	0	2	0	0	0
g000um2105	x000tg6000	9	10	0	0	0	2	0	0	0
g000um2106	x000tg6000	9	15	0	0	0	2	0	0	0
g000um2107	x000tg6000	4	10	0	0	0	2	0	0	0
g000um2108	x000tg6000	4	15	0	0	0	2	0	0	0
g000um2109	x000tg6000	10	0	0	0	0	2	0	0	0
g000um2110	x000tg6000	10	0	0	0	0	2	1	0	0
g000um2111	x000tg6000	10	0	0	0	0	2	3	0	0
g000um2201	x000tg6000	5	0	10	0	0	2	0	0	0
g000um2202	x000tg6000	5	0	15	0	0	2	0	0	0
g000um2203	x000tg6000	5	0	20	0	0	2	0	0	0
g000um2204	x000tg6000	5	0	25	0	0	2	0	0	0
g000um2205	x000tg6000	5	0	35	0	0	2	0	0	0
g000um2301	x000tg6000	4	10	0	0	0	2	0	0	0
g000um2302	x000tg6000	4	15	0	0	0	2	0	0	0
g000um2303	x000tg6000	4	20	0	0	0	2	0	0	0
g000um2304	x000tg6000	4	30	0	0	0	2	0	0	0
g000um2305	x000tg6000	4	35	0	0	0	2	0	0	0
g000um2306	x000tg6000	4	40	0	0	0	2	0	0	0
g000um2307	x000tg6000	4	50	0	0	0	2	0	0	0
g000um2401	x000tg6000	12	0	0	0	7	2	0	0	0
g000um2402	x000tg6000	12	0	0	0	5	2	0	0	0
g000um2403	x000tg6000	12	0	0	0	6	2	0	0	0
g000um3001	x000tg6000	5	0	10	0	0	2	0	0	0
g000um3002	x000tg6000	5	0	15	0	0	2	0	0	0
g000um3003	x000tg6000	5	0	20	0	0	2	0	0	0
g000um3004	x000tg6000	5	0	25	0	0	2	0	0	0
g000um3005	x000tg6000	5	0	30	0	0	2	0	0	0
g000um2306	x000tg6000	9	25	0	0	0	2	0	0	0
g000um2307	x000tg6000	9	50	0	0	0	2	0	0	0
g000um0013	x000tgc013	3	20	0	0	0	2	0	0	0
g000um0018	x000tgc018	12	0	0	0	3	2	0	0	0
g000um0039	x000tgc039	11	0	0	3	0	2	0	0	0
g000um0040	x000tgc040	4	50	0	0	0	2	0	0	0
g000um0053	x000tgc053	7	-100	0	0	0	2	0	0	0
g000um0064	x000tgc064	3	-10	0	0	0	2	0	0	0
g000um0065	x000tgc065	5	0	-10	0	0	2	0	0	0
g000um0073	x000tgc073	3	-20	0	0	0	2	0	0	0
g000um0076	x000tgc076	4	-33	0	0	0	2	0	0	0
g000um4001	x000tg6000	11	0	0	8	0	2	0	0	0
g000um4002	x000tg6000	11	0	0	10	0	2	0	0	0
g000um4003	x000tg6000	11	0	0	9	0	2	0	0	0
g000um4004	x000tg6000	7	20	0	0	0	2	0	0	0
g000um4005	x000tg6000	11	0	0	14	0	2	0	0	0
g000um4006	x000tg6000	2	0	1	0	0	2	0	0	0
g000um4007	x000tg6000	11	0	0	16	0	2	0	0	0
g000um4008	x000tg6000	4	25	0	0	0	2	0	0	0
g000um4009	x000tg6000	5	0	20	0	0	2	0	0	0
g000um4010	x000tg6000	11	0	0	15	0	2	0	0	0
g000um4011	x000tg6000	7	25	0	0	0	2	0	0	0
g000um4012	x000tg6000	11	0	0	6	0	2	0	0	0
g000um4013	x000tg6000	2	0	1	0	0	2	0	0	0
g000um4014	x000tg6000	3	20	0	0	0	2	0	0	0
g000um4015	x000tg6000	1	0	5	0	0	2	0	0	0
g000um2007	x000tg6000	6	15	1	0	0	2	0	0	0
