ITEM_CAT	ITEM_ID	VALUE
6	G000IG0001	g0400:r0000:y0000:e0000:w0000
4	G000IG0002	g0200:r0000:y0000:e0000:w0000
4	G000IG0003	g0450:r0000:y0000:e0000:w0000
7	G000IG0004	g1500:r0000:y0000:e0000:w0000
5	G000IG0005	g0150:r0000:y0000:e0000:w0000
5	G000IG0006	g0300:r0000:y0000:e0000:w0000
7	G000IG0007	g1500:r0000:y0000:e0000:w0000
4	G000IG0008	g0200:r0000:y0000:e0000:w0000
4	G000IG0009	g0450:r0000:y0000:e0000:w0000
7	G000IG0010	g1500:r0000:y0000:e0000:w0000
4	G000IG0011	g0200:r0000:y0000:e0000:w0000
4	G000IG0012	g0450:r0000:y0000:e0000:w0000
7	G000IG0013	g1500:r0000:y0000:e0000:w0000
4	G000IG0014	g0200:r0000:y0000:e0000:w0000
4	G000IG0015	g0450:r0000:y0000:e0000:w0000
7	G000IG0016	g1500:r0000:y0000:e0000:w0000
3	G000IG1001	g1000:r0000:y0000:e0000:w0000
3	G000IG1002	g3000:r0000:y0000:e0000:w0000
3	G000IG1003	g1000:r0000:y0000:e0000:w0000
3	G000IG1004	g3000:r0000:y0000:e0000:w0000
3	G000IG1005	g1000:r0000:y0000:e0000:w0000
3	G000IG1006	g3000:r0000:y0000:e0000:w0000
3	G000IG1007	g1000:r0000:y0000:e0000:w0000
3	G000IG1008	g3000:r0000:y0000:e0000:w0000
13	G000IG1010	g1200:r0000:y0000:e0000:w0000
13	G000IG1011	g1600:r0000:y0000:e0000:w0000
0	G000IG2001	g0500:r0000:y0000:e0000:w0000
0	G000IG2002	g1000:r0000:y0000:e0000:w0000
0	G000IG2003	g1500:r0000:y0000:e0000:w0000
0	G000IG2004	g2000:r0000:y0000:e0000:w0000
0	G000IG2005	g2500:r0000:y0000:e0000:w0000
2	G000IG3001	g0500:r0000:y0000:e0000:w0000
2	G000IG3002	g1000:r0000:y0000:e0000:w0000
2	G000IG3003	g1500:r0000:y0000:e0000:w0000
