SPELL_ID	CATEGORY	LEVEL	CASTING_C	AREA
g000ss0001	3	1	g0000:r0000:y0100:e0000:w0000	1
g000ss0002	3	1	g0000:r0000:y0100:e0000:w0000	1
g000ss0003	3	1	g0000:r0000:y0100:e0000:w0000	1
g000ss0004	0	1	g0000:r0000:y0100:e0000:w0000	1
g000ss0005	3	1	g0000:r0000:y0100:e0000:w0000	1
g000ss0006	8	2	g0000:r0000:y0200:e0000:w0000	1
g000ss0007	2	2	g0000:r0000:y0200:e0000:w0000	1
g000ss0008	4	2	g0000:r0000:y0200:e0000:w0000	1
g000ss0009	7	2	g0000:r0000:y0200:e0000:w0000	5
g000ss0011	3	3	g0000:r0000:y0150:e0000:w0150	1
g000ss0012	3	3	g0000:r0000:y0150:e0000:w0150	1
g000ss0013	3	3	g0000:r0150:y0150:e0000:w0000	1
g000ss0014	0	3	g0000:r0000:y0150:e0000:w0150	1
g000ss0015	4	4	g0000:r0225:y0400:e0000:w0225	1
g000ss0016	3	4	g0000:r0125:y0200:e0000:w0075	1
g000ss0017	3	4	g0000:r0100:y0200:e0000:w0100	1
g000ss0010	3	2	g0000:r0000:y0200:e0000:w0000	1
g000ss0018	3	5	g0000:r0060:y0250:e0120:w0070	1
g000ss0019	0	5	g0000:r0070:y0250:e0080:w0100	1
g000ss0020	2	5	g0000:r0100:y0250:e0060:w0100	1
g000ss0021	3	1	g0000:r0000:y0000:e0000:w0100	1
g000ss0034	3	3	g0000:r0000:y0150:e0000:w0150	1
g000ss0023	3	1	g0000:r0000:y0000:e0000:w0100	1
g000ss0024	0	1	g0000:r0000:y0000:e0000:w0100	1
g000ss0025	4	1	g0000:r0000:y0000:e0000:w0100	1
g000ss0026	3	2	g0000:r0000:y0000:e0000:w0200	1
g000ss0027	3	2	g0000:r0000:y0000:e0000:w0050	1
g000ss0028	0	2	g0000:r0000:y0000:e0000:w0200	1
g000ss0031	4	3	g0000:r0000:y0150:e0000:w0150	1
g000ss0030	7	2	g0000:r0000:y0000:e0000:w0200	5
g000ss0029	2	2	g0000:r0000:y0000:e0000:w0200	1
g000ss0032	8	3	g0000:r0000:y0000:e0075:w0075	1
g000ss0033	0	3	g0000:r0000:y0150:e0000:w0150	1
g000ss0022	3	1	g0000:r0000:y0000:e0000:w0025	1
g000ss0035	3	4	g0000:r0000:y0075:e0125:w0200	1
g000ss0036	3	4	g0000:r0000:y0100:e0100:w0200	1
g000ss0037	0	4	g0000:r0000:y0100:e0100:w0200	1
g000ss0038	4	5	g0000:r0270:y0150:e0135:w0400	1
g000ss0039	3	5	g0000:r0080:y0100:e0070:w0250	1
g000ss0040	3	5	g0000:r0060:y0110:e0080:w0250	1
g000ss0041	4	1	g0000:r0100:y0000:e0000:w0000	1
g000ss0042	4	1	g0000:r0080:y0000:e0000:w0000	1
g000ss0043	0	1	g0000:r0100:y0000:e0000:w0000	1
g000ss0044	0	1	g0000:r0100:y0000:e0000:w0000	1
g000ss0046	4	2	g0000:r0200:y0000:e0000:w0000	1
g000ss0047	4	2	g0000:r0125:y0000:e0000:w0000	1
g000ss0045	1	1	g0000:r0100:y0000:e0000:w0000	1
g000ss0048	0	2	g0000:r0200:y0000:e0000:w0000	1
g000ss0051	9	3	g0000:r0150:y0150:e0000:w0000	1
g000ss0052	6	3	g0000:r0150:y0000:e0150:w0000	7
g000ss0053	1	3	g0000:r0150:y0000:e0150:w0000	1
g000ss0054	0	3	g0000:r0150:y0000:e0150:w0000	1
g000ss0049	1	2	g0000:r0200:y0000:e0000:w0000	1
g000ss0055	1	4	g0000:r0200:y0100:e0100:w0000	1
