LORD_ID	SPELL_ID	RESEARCH
g000LR0001	g000ss0001	g0000:r0000:y0200:e0000:w0000
g000LR0001	g000ss0002	g0000:r0000:y0200:e0000:w0000
g000LR0001	g000ss0003	g0000:r0000:y0200:e0000:w0000
g000LR0001	g000ss0004	g0000:r0000:y0200:e0000:w0000
g000LR0001	g000ss0005	g0000:r0000:y0200:e0000:w0000
g000LR0001	g000ss0006	g0000:r0000:y0400:e0000:w0000
g000LR0001	g000ss0007	g0000:r0000:y0400:e0000:w0000
g000LR0001	g000ss0008	g0000:r0000:y0400:e0000:w0000
g000LR0001	g000ss0009	g0000:r0000:y0400:e0000:w0000
g000LR0001	g000ss0010	g0000:r0000:y0400:e0000:w0000
g000LR0001	g000ss0011	g0000:r0000:y0450:e0000:w0450
g000LR0001	g000ss0012	g0000:r0000:y0450:e0000:w0450
g000LR0001	g000ss0013	g0000:r0450:y0450:e0000:w0000
g000LR0001	g000ss0014	g0000:r0000:y0450:e0000:w0450
g000LR0002	g000ss0001	g0000:r0000:y0200:e0000:w0000
g000LR0002	g000ss0002	g0000:r0000:y0200:e0000:w0000
g000LR0002	g000ss0003	g0000:r0000:y0200:e0000:w0000
g000LR0002	g000ss0004	g0000:r0000:y0200:e0000:w0000
g000LR0002	g000ss0005	g0000:r0000:y0200:e0000:w0000
g000LR0002	g000ss0006	g0000:r0000:y0400:e0000:w0000
g000LR0002	g000ss0007	g0000:r0000:y0400:e0000:w0000
g000LR0002	g000ss0008	g0000:r0000:y0400:e0000:w0000
g000LR0002	g000ss0009	g0000:r0000:y0400:e0000:w0000
g000LR0002	g000ss0010	g0000:r0000:y0400:e0000:w0000
g000LR0002	g000ss0011	g0000:r0000:y0450:e0000:w0450
g000LR0002	g000ss0012	g0000:r0000:y0450:e0000:w0450
g000LR0002	g000ss0013	g0000:r0450:y0450:e0000:w0000
g000LR0002	g000ss0014	g0000:r0000:y0450:e0000:w0450
g000LR0002	g000ss0015	g0000:r0400:y0800:e0000:w0400
g000LR0002	g000ss0016	g0000:r0600:y0800:e0000:w0300
g000LR0002	g000ss0017	g0000:r0400:y0800:e0000:w0400
