UNIT_ID	UNIT_CAT	LEVEL	PREV_ID	RACE_ID	SUBRACE	BRANCH	SIZE_SMALL	SEX_M	ENROLL_C	ENROLL_B	NAME_TXT	DESC_TXT	ABIL_TXT	ATTACK_ID	ATTACK2_ID	ATCK_TWICE	HIT_POINT	BASE_UNIT	ARMOR	REGEN	REVIVE_C	HEAL_C	TRAINING_C	XP_KILLED	UPGRADE_B	XP_NEXT	MOVE	SCOUT	LIFE_TIME	LEADERSHIP	NEGOTIATE	LEADER_CAT	DYN_UPG1	DYN_UPG_LV	DYN_UPG2	WATER_ONLY	DEATH_ANIM
g000uu0001	0	1	g000000000	g000rr0000	1	0	True	True	g0050:r0000:y0000:e0000:w0000	g000000000	x000tg2001	x000tg2501	x000tgb006	g000aa0001	g000000000	False	110	G000000000	0	5	g0025:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	22	g000000000	90	0	0	0	0	0	0	g000DU0001	10	g002DU0001	False	1
g000uu0002	0	2	g000uu0001	g000rr0000	1	0	True	True	g0300:r0000:y0000:e0000:w0000	g000000000	x000tg2002	x000tg2502	x000tgb006	g000aa0002	g000000000	False	140	G000000000	15	5	g0200:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	67	g000bb0001	550	0	0	0	0	0	0	g000DU0002	10	g002DU0002	False	1
g000uu0003	0	3	g000uu0002	g000rr0000	1	0	True	True	g0850:r0000:y0000:e0000:w0000	g000000000	x000tg2003	x000tg2503	x000tgb006	g000aa0003	g000000000	False	160	G000000000	20	5	g0400:r0000:y0000:e0000:w0000	g0002:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	120	g000bb0002	950	0	0	0	0	0	0	g000DU0003	10	g002DU0003	False	1
g000uu0004	0	2	g000uu0001	g000rr0000	1	0	True	True	g0300:r0000:y0000:e0000:w0000	g000000000	x000tg2004	x000tg2504	x000tgb006	g000aa0004	g000000000	False	155	G000000000	0	5	g0200:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	68	g000bb0007	560	0	0	0	0	0	0	g000DU0004	10	g002DU0004	False	1
g000uu0005	0	3	g000uu0004	g000rr0000	1	0	True	True	g0850:r0000:y0000:e0000:w0000	g000000000	x000tg2005	x000tg2505	x000tgb006	g000aa0005	g000000000	False	180	G000000000	0	5	g0400:r0000:y0000:e0000:w0000	g0002:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	115	g000bb0008	950	0	0	0	0	0	0	g000DU0005	10	g002DU0005	False	1
g000uu0006	0	1	g000000000	g000rr0000	1	1	True	True	g0050:r0000:y0000:e0000:w0000	g000000000	x000tg2006	x000tg2506	x000tgb006	g000aa0006	g000000000	False	45	G000000000	0	5	g0025:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	20	g000000000	70	0	0	0	0	0	0	g000DU0006	10	g002DU0006	False	1
g000uu0007	0	2	g000uu0006	g000rr0000	1	1	True	True	g0240:r0000:y0000:e0000:w0000	g000000000	x000tg2007	x000tg2507	x000tgb006	g000aa0007	g000000000	False	90	G000000000	0	5	g0200:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	60	g000bb0010	500	0	0	0	0	0	0	g000DU0007	10	g002DU0007	False	1
g000uu0008	0	1	g000000000	g000rr0000	1	2	True	True	g0050:r0000:y0000:e0000:w0000	g000000000	x000tg2008	x000tg2508	x000tgb006	g000aa0008	g000000000	False	40	G000000000	0	5	g0025:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	15	g000000000	70	0	0	0	0	0	0	g000DU0008	10	g002DU0008	False	1
g000uu0009	0	2	g000uu0008	g000rr0000	1	2	True	True	g0260:r0000:y0000:e0000:w0000	g000000000	x000tg2009	x000tg2509	x000tgb006	g000aa0009	g000000000	False	65	G000000000	0	5	g0200:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	55	g000bb0012	435	0	0	0	0	0	0	g000DU0009	10	g002DU0009	False	1
g000uu0010	0	3	g000uu0009	g000rr0000	1	2	True	True	g0660:r0000:y0000:e0000:w0000	g000000000	x000tg2010	x000tg2510	x000tgb006	g000aa0010	g000000000	False	100	G000000000	0	5	g0400:r0000:y0000:e0000:w0000	g0002:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	125	g000bb0013	1200	0	0	0	0	0	0	g000DU0010	10	g002DU0010	False	1
g000uu0011	0	1	g000000000	g000rr0000	1	3	True	True	g0050:r0000:y0000:e0000:w0000	g000000000	x000tg2011	x000tg2511	x000tgb006	g000aa0011	g000000000	False	50	G000000000	0	5	g0025:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	20	g000000000	80	0	0	0	0	0	0	g000DU0011	10	g002DU0011	False	1
g000uu0012	0	2	g000uu0011	g000rr0000	1	3	True	True	g0250:r0000:y0000:e0000:w0000	g000000000	x000tg2012	x000tg2512	x000tgb006	g000aa0012	g000000000	True	85	G000000000	0	5	g0200:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	60	g000bb0016	575	0	0	0	0	0	0	g000DU0012	10	g002DU0012	False	1
g000uu0013	0	3	g000uu0012	g000rr0000	1	3	True	True	g0650:r0000:y0000:e0000:w0000	g000000000	x000tg2013	x000tg2513	x000tgb006	g000aa0013	g000000000	True	125	G000000000	0	5	g0400:r0000:y0000:e0000:w0000	g0002:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	160	g000bb0017	1250	0	0	0	0	0	0	g000DU0013	10	g002DU0013	False	1
g000uu0014	0	4	g000uu0003	g000rr0000	1	0	True	True	g1800:r0000:y0000:e0000:w0000	g000000000	x000tg2014	x000tg2514	x000tgb006	g000aa0014	g000000000	False	220	G000000000	0	5	g0600:r0000:y0000:e0000:w0000	g0003:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	200	g000bb0006	1175	0	0	0	0	0	0	g000DU0014	10	g002DU0014	False	1
g000uu0015	0	4	g000uu0003	g000rr0000	1	0	True	True	g1800:r0000:y0000:e0000:w0000	g000000000	x000tg2015	x000tg2515	x000tgb006	g000aa0015	g000000000	False	175	G000000000	30	5	g0600:r0000:y0000:e0000:w0000	g0003:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	200	g000bb0003	1600	0	0	0	0	0	0	g000DU0015	10	g002DU0015	False	1
g000uu0016	0	2	g000uu0011	g000rr0000	1	3	True	False	g0250:r0000:y0000:e0000:w0000	g000000000	x000tg2016	x000tg2516	x000tgb006	g000aa0016	g000000000	False	75	G000000000	0	5	g0200:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	55	g000bb0019	575	0	0	0	0	0	0	g000DU0016	10	g002DU0016	False	1
g000uu0017	0	3	g000uu0016	g000rr0000	1	3	True	False	g0700:r0000:y0000:e0000:w0000	g000000000	x000tg2017	x000tg2517	x000tgb006	g000aa0017	g000aa1017	False	100	G000000000	0	5	g0400:r0000:y0000:e0000:w0000	g0002:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	140	g000bb0020	1225	0	0	0	0	0	0	g000DU0017	10	g002DU0017	False	1
g000uu0018	0	1	g000000000	g000rr0000	1	4	False	False	g0300:r0000:y0000:e0000:w0000	g000bb0022	x000tg2018	x000tg2518	x000tgb006	g000aa0018	g015aa8128	False	300	G000000000	0	5	g0200:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	240	g000000000	850	0	0	0	0	0	0	g000DU0018	10	g002DU0018	False	1
g000uu0019	2	1	g000000000	g000rr0000	1	5	True	True	g0500:r0000:y0000:e0000:w0000	g000000000	x000tg2019	x000tg2519	x000tgb001	g000aa0019	g000000000	True	135	G000000000	10	5	g0200:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	60	g000000000	150	25	5	0	4	10	1	g000DU0019	11	g002DU0019	False	1
g000uu0020	2	1	g000000000	g000rr0000	1	5	True	True	g0500:r0000:y0000:e0000:w0000	g000000000	x000tg2020	x000tg2520	x000tgb002	g000aa0020	g000000000	True	90	G000000000	0	5	g0200:r0000:y0000:e0000:w0000	g0002:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	60	g000000000	155	30	5	0	4	10	2	g000DU0020	11	g002DU0020	False	1
g000uu0021	2	1	g000000000	g000rr0000	1	5	True	True	g0500:r0000:y0000:e0000:w0000	g000000000	x000tg2021	x000tg2521	x000tgb003	g008aa0021	g000000000	True	90	G000000000	0	5	g0200:r0000:y0000:e0000:w0000	g0002:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	60	g000000000	150	25	5	0	4	10	3	g003DU0021	11	g004DU0021	False	1
g000uu0022	2	1	g000000000	g000rr0000	1	5	True	False	g0300:r0000:y0000:e0000:w0000	g000000000	x000tg2022	x000tg2522	x000tgb004	g000aa0022	g000000000	True	100	G000000000	0	5	g0200:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	40	g000000000	100	20	5	0	2	13	4	g000DU0022	10	g002DU0022	False	1
g000uu0023	1	1	g000000000	g000rr0000	1	6	True	True	g0200:r0000:y0000:e0000:w0000	g000000000	x000tg2023	x000tg2523	x000tgb005	g000aa0023	g000000000	False	100	G000000000	0	5	g0200:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	25	g000000000	95	25	5	0	1	10	5	g000DU0023	10	g002DU0023	False	1
g000uu0024	4	1	g000000000	g000rr0000	1	7	False	True	g0750:r0000:y0000:e0000:w0000	g000000000	x000tg2024	x000tg2524	x000tgb006	g000aa0024	g000000000	False	190	G000000000	0	5	g0200:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	95	g000000000	375	20	5	1	1	30	0	g000DU0024	10	g002DU0024	False	1
g000uu0025	4	1	g000000000	g000rr0000	1	7	False	True	g2000:r0000:y0000:e0000:w0000	g000000000	x000tg2025	x000tg2525	x000tgb006	g000aa0025	g000000000	False	150	G000000000	50	5	g1000:r0000:y0000:e0000:w0000	g0004:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	600	g000000000	2400	25	5	1	1	50	0	g000DU0025	10	g002DU0025	False	1
g000uu0026	0	1	g000000000	g000rr0001	4	1	True	True	g0050:r0000:y0000:e0000:w0000	g000000000	x000tg2026	x000tg2526	x000tgb006	g000aa0026	g000000000	False	65	G000000000	0	5	g0025:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	25	g000000000	100	0	0	0	0	0	0	g000DU0026	10	g002DU0026	False	3
g000uu0027	0	2	g000uu0026	g000rr0001	4	1	True	True	g0240:r0000:y0000:e0000:w0000	g000000000	x000tg2027	x000tg2527	x000tgb006	g000aa0027	g000000000	False	110	G000000000	0	5	g0200:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	70	g000bb0034	550	0	0	0	0	0	0	g000DU0027	10	g002DU0027	False	3
g000uu0028	0	1	g000000000	g000rr0004	5	1	True	True	g0475:r0000:y0000:e0000:w0000	g000000000	x000tg0968	x000tg0969	x000tgb006	g002aa0028	g003aa0028	False	115	G000000000	0	5	g0200:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	95	g000000000	950	0	0	0	0	0	0	g003DU0028	10	g005DU0028	False	3
g000uu0029	0	1	g000000000	g000rr0001	4	3	False	True	g0100:r0000:y0000:e0000:w0000	g000000000	x000tg2029	x000tg2529	x000tgb006	g000aa0029	g000000000	False	210	G000000000	0	5	g0050:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	100	g000000000	400	0	0	0	0	0	0	g000DU0029	10	g002DU0029	False	3
g000uu0030	0	2	g000uu0029	g000rr0001	4	3	False	True	g0400:r0000:y0000:e0000:w0000	g000000000	x000tg2030	x000tg2530	x000tgb006	g000aa0030	g000000000	False	310	G000000000	0	5	g0400:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	225	g000bb0041	1100	0	0	0	0	0	0	g000DU0030	10	g002DU0030	False	3
g000uu0031	0	3	g000uu0030	g000rr0001	4	3	False	True	g1400:r0000:y0000:e0000:w0000	g000000000	x000tg2031	x000tg2531	x000tgb006	g000aa0031	g003aa5026	False	350	G000000000	0	5	g0600:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	g0001:r0000:y0000:e0000:w0000	490	g000bb0042	2450	0	0	0	0	0	0	g000DU0031	10	g002DU0031	False	3
