UNIT_ID	UNIT_CAT	LEVEL	SUBRACE	BRANCH	SIZE_SMALL	ATTACK_ID	XP_KILLED	XP_NEXT	LEADERSHIP	WATER_ONLY	REACH
g000uu0001	0	1	1	0	True	g000aa0001	20	80	0	False	3
g000uu0002	0	2	1	0	True	g000aa0002	60	475	0	False	3
g000uu0003	0	3	1	0	True	g000aa0003	120	950	0	False	3
g000uu0004	0	2	1	0	True	g000aa0004	60	475	0	False	3
g000uu0005	0	3	1	0	True	g000aa0005	115	950	0	False	3
g000uu0006	0	1	1	1	True	g000aa0006	20	70	0	False	2
g000uu0007	0	2	1	1	True	g000aa0007	60	500	0	False	2
g000uu0008	0	1	1	2	True	g000aa0008	15	75	0	False	1
g000uu0009	0	2	1	2	True	g000aa0009	55	550	0	False	1
g000uu0010	0	3	1	2	True	g000aa0010	125	1200	0	False	1
g000uu0011	0	1	1	3	True	g000aa0011	20	80	0	False	2
g000uu0012	0	2	1	3	True	g000aa0012	60	575	0	False	2
g000uu0013	0	3	1	3	True	g000aa0013	160	1250	0	False	2
g000uu0014	0	4	1	0	True	g000aa0014	245	1300	0	False	3
g000uu0015	0	4	1	0	True	g000aa0015	200	1600	0	False	3
g000uu0016	0	2	1	3	True	g000aa0016	55	575	0	False	1
g000uu0017	0	3	1	3	True	g000aa0017	140	1225	0	False	1
g000uu0018	0	1	1	4	False	g000aa0018	120	575	0	False	3
g000uu0019	2	1	1	5	True	g000aa0019	60	150	4	False	3
g000uu0020	2	1	1	5	True	g000aa0020	60	155	4	False	2
g000uu0021	2	1	1	5	True	g008aa0021	60	150	4	False	1
g000uu0022	2	1	1	5	True	g000aa0022	40	100	2	False	2
g000uu0023	1	1	1	6	True	g000aa0023	25	95	1	False	3
g000uu0024	4	1	1	7	False	g000aa0024	95	375	1	False	3
g000uu0025	4	1	1	7	False	g000aa0025	600	2400	1	False	1
g000uu0026	0	1	4	1	True	g000aa0026	25	100	0	False	2
g000uu0027	0	2	4	1	True	g000aa0027	70	550	0	False	2
g000uu0028	0	1	4	1	True	g000aa0028	140	1200	0	False	1
g000uu0029	0	1	4	3	False	g000aa0029	100	400	0	False	3
g000uu0030	0	2	4	3	False	g000aa0030	225	1100	0	False	3
g000uu0031	0	3	4	3	False	g000aa0031	490	2450	0	False	1
g000uu0032	0	3	4	3	False	g000aa0032	390	1950	0	False	3
g000uu0033	0	1	4	2	True	g000aa0033	50	95	0	False	2
g000uu0034	0	2	4	2	True	g000aa0034	70	325	0	False	2
g000uu0035	0	3	4	2	True	g000aa0035	95	850	0	False	2
g000uu0036	0	1	4	0	True	g000aa0036	35	130	0	False	3
g000uu0037	0	2	4	0	True	g000aa0037	90	600	0	False	3
g000uu0038	0	3	4	0	True	g000aa0038	160	1275	0	False	3
g000uu0039	0	5	4	0	True	g000aa0039	300	2300	0	False	3
g000uu0040	0	4	4	0	True	g000aa0040	220	1750	0	False	3
g000uu0041	0	3	4	0	True	g000aa0041	135	1400	0	False	1
g000uu5037	0	1	13	0	False	g000aa5037	195	975	0	False	3
g000uu0043	0	1	4	4	False	g001aa0043	200	700	0	False	1
g000uu0044	2	1	4	5	True	g000aa0044	110	225	4	False	3
g000uu0045	2	1	4	5	True	g000aa0045	85	185	4	False	2
g000uu0046	2	1	4	5	True	g008aa0046	85	175	4	False	1
g000uu0047	2	1	4	5	True	g000aa0047	50	120	2	False	3
g000uu0048	1	1	4	6	True	g000aa0048	50	120	1	False	3
g000uu0049	4	1	4	7	False	g000aa0049	40	160	1	False	3
g000uu0050	4	1	4	7	True	g000aa0050	385	1550	1	False	1
g000uu0051	4	1	4	7	False	g000aa0051	435	3000	1	False	3
g000uu0052	0	1	3	0	True	g000aa0052	25	95	0	False	3
g000uu0053	0	2	3	0	True	g000aa0053	70	550	0	False	3
g000uu0054	0	3	3	0	True	g000aa0054	130	1050	0	False	3
g000uu0055	0	1	3	1	False	g000aa0055	100	400	0	False	2
g000uu0056	0	2	3	1	False	g000aa0056	410	1675	0	False	2
g000uu0057	0	1	3	3	False	g000aa0057	70	275	0	False	3
g000uu0058	0	2	3	3	False	g000aa0058	175	850	0	False	3
g000uu0059	0	3	3	3	False	g000aa0059	325	2150	0	False	3
g000uu0060	0	4	3	3	False	g000aa0060	825	3100	0	False	1
g000uu0061	0	4	3	3	False	g000aa0061	525	2650	0	False	3
g000uu0062	0	1	3	2	True	g000aa0062	20	75	0	False	1
g000uu0063	0	2	3	2	True	g000aa0063	65	500	0	False	1
g000uu0064	0	3	3	2	True	g000aa0064	130	1325	0	False	1
g000uu0065	0	4	3	2	True	g000aa0065	90	1125	0	False	2
g000uu0066	0	4	3	2	True	g000aa0066	225	2250	0	False	1
g000uu0067	0	2	3	2	True	g000aa0067	70	500	0	False	2
g000uu0068	0	3	3	2	True	g000aa0068	110	1000	0	False	2
g000uu0069	0	1	3	4	False	g000aa0069	120	650	0	False	3
g000uu0070	2	1	3	5	True	g000aa0070	60	175	4	False	3
g000uu0071	2	1	3	5	True	g000aa0071	60	145	4	False	2
g000uu0072	2	1	3	5	True	g008aa0072	60	150	4	False	1
g000uu0073	2	1	3	5	True	g000aa0073	50	120	2	False	2
g000uu0074	1	1	3	6	True	g000aa0074	25	95	1	False	3
g000uu0075	4	1	3	7	False	g000aa0075	90	350	1	False	1
g000uu0076	4	1	3	7	False	g000aa0076	105	425	1	False	3
g000uu0077	4	1	3	7	False	g000aa0077	800	3200	1	False	1
g000uu0078	0	1	2	1	True	g000aa0078	20	75	0	False	2
g000uu0079	0	2	2	1	True	g000aa0079	70	550	0	False	2
g000uu0080	0	1	2	2	True	g000aa0080	20	75	0	False	1
g000uu0081	0	2	2	2	True	g000aa0081	65	500	0	False	1
g000uu0082	0	3	2	2	True	g000aa0082	145	1250	0	False	1
g000uu0083	0	4	2	2	True	g000aa0083	425	2300	0	False	1
g000uu0084	0	4	2	2	True	g000aa0084	300	2425	0	False	1
g000uu0085	0	3	2	2	True	g000aa0085	115	900	0	False	2
g000uu0086	0	1	2	0	True	g000aa0086	25	95	0	False	3
g000uu0087	0	2	2	0	True	g000aa0087	75	600	0	False	3
g000uu0088	0	3	2	0	True	g000aa0088	145	1150	0	False	3
g000uu0089	0	4	2	0	True	g000aa0089	240	1600	0	False	3
g000uu0090	0	2	2	0	True	g000aa0090	75	600	0	False	3
g000uu0091	0	3	2	0	True	g000aa0091	195	1000	0	False	3
g000uu0092	0	1	2	4	True	g000aa0092	50	600	0	False	3
g000uu0093	0	1	2	3	False	g000aa0093	160	500	0	False	1
g000uu0094	0	2	2	3	False	g000aa0094	335	1100	0	False	1
g000uu0095	0	3	2	3	False	g000aa0095	635	2550	0	False	1
g000uu0096	2	1	2	5	True	g000aa0096	65	175	4	False	3
g000uu0097	2	1	2	5	True	g008aa0097	65	150	4	False	1
g000uu0098	2	1	2	5	True	g008aa0098	65	175	4	False	1
g000uu0099	2	1	2	5	True	g000aa0099	45	115	2	False	2
g000uu0100	1	1	2	6	True	g000aa0100	25	95	1	False	3
g000uu0101	4	1	2	7	True	g000aa0101	35	140	1	False	3
g000uu0102	4	1	2	7	False	g000aa0102	90	350	1	False	3
g000uu0103	4	1	2	7	True	g000aa0103	310	1225	1	False	1
g000uu0104	4	1	2	7	False	g000aa0104	400	3100	1	False	3
g000uu0105	5	1	3	7	False	g000aa0075	90	350	1	False	1
g000uu0106	5	1	3	7	False	g000aa0076	105	425	1	False	3
g000uu0107	5	1	3	7	False	g000aa0077	800	3200	1	False	1
g000uu5132	2	1	12	5	True	g000aa5032	220	1750	6	False	3
g000uu5101	2	1	6	5	True	g000aa5001	5	35	6	False	3
g000uu5119	2	1	9	5	False	g000aa5019	1750	8500	6	False	1
g000uu5124	2	1	10	5	True	g000aa5024	120	950	6	False	3
g000uu5115	2	1	8	5	False	g000aa5015	315	1550	6	False	3
g000uu5130	2	1	6	5	True	g000aa5030	30	50	6	False	3
g000uu5105	2	1	7	5	True	g000aa5005	30	250	6	False	3
g000uu5116	2	1	8	5	False	g000aa5016	335	1675	6	False	3
g000uu5126	2	1	11	5	True	g000aa5026	100	975	6	True	1
g000uu5012	0	1	8	0	True	g000aa5012	175	1400	0	False	3
g000uu5117	2	1	8	5	True	g000aa5017	8	50	6	False	3
g000uu5007	0	1	7	0	True	g000aa5007	90	725	0	False	2
g000uu5013	0	1	8	0	True	g000aa5013	90	700	0	False	3
g000uu5002	0	1	6	0	True	g000aa5002	20	75	0	False	3
g000uu5008	0	1	7	0	True	g000aa5008	290	2850	0	False	1
g000uu5009	0	1	7	0	True	g000aa5009	20	75	0	False	2
g000uu5103	2	1	6	5	True	g000aa5003	55	450	6	False	3
g000uu5033	0	1	5	0	True	g000aa5033	75	300	0	False	3
g000uu5034	0	1	5	0	True	g000aa5034	10	36	0	False	3
g000uu5120	2	1	9	5	False	g000aa5020	1160	5650	6	False	1
g000uu5121	2	1	9	5	False	g000aa5021	1210	5900	6	False	1
g000uu5122	2	1	9	5	False	g000aa5022	2530	9000	6	False	1
g000uu5123	2	1	9	5	False	g000aa5023	1030	4000	6	False	1
g000uu5135	2	1	13	5	False	g000aa5035	355	1775	6	False	3
g000uu5129	2	1	11	5	False	g000aa5029	400	2000	6	True	3
g000uu5127	2	1	11	5	False	g000aa5027	335	1675	6	True	3
g000uu5111	2	1	7	5	True	g000aa5011	80	625	6	False	3
g000uu5014	0	1	8	0	True	g000aa5014	390	3100	0	False	3
g000uu5016	0	1	8	0	False	g000aa5016	335	1675	0	False	3
g000uu5017	0	1	8	0	True	g000aa5017	8	50	0	False	3
g000uu5025	0	1	10	0	True	g000aa5025	72	725	0	False	1
g000uu5024	0	1	10	0	True	g000aa5024	120	950	0	False	3
g000uu5004	0	1	7	0	False	g000aa5004	150	1200	0	False	3
g000uu5010	0	1	7	0	False	g000aa5010	470	2350	0	False	3
g000uu5001	0	1	6	0	True	g000aa5001	5	35	0	False	3
g000uu5035	0	1	13	0	False	g000aa5035	355	1775	0	False	3
g000uu5230	2	1	5	5	False	g000aa0030	225	1100	6	False	3
g000uu5229	2	1	5	5	False	g000aa0029	100	400	6	False	3
g000uu5006	0	1	7	0	True	g001aa8135	300	2200	0	False	1
g000uu5030	0	1	6	0	True	g000aa5030	30	50	0	False	3
g000uu5201	2	1	6	5	True	g000aa0001	20	80	6	False	3
g000uu5210	2	1	6	5	True	g000aa0010	125	1200	6	False	1
g000uu5214	2	1	6	5	True	g000aa0014	245	1300	6	False	3
g000uu5218	2	1	6	5	False	g000aa0018	120	575	6	False	3
g000uu5227	2	1	5	5	True	g000aa0027	70	550	6	False	2
g000uu5236	2	1	5	5	True	g000aa0036	35	130	6	False	3
g000uu5253	2	1	5	5	True	g000aa0053	70	550	6	False	3
g000uu5262	2	1	5	5	True	g000aa0062	20	75	6	False	1
g000uu5264	2	1	5	5	True	g000aa0064	130	1325	6	False	1
g000uu5279	2	1	5	5	True	g000aa0079	70	550	6	False	2
g000uu5282	2	1	5	5	True	g000aa0082	145	1250	6	False	1
g000uu5283	2	1	5	5	True	g000aa0083	425	2300	6	False	1
g000uu5284	2	1	5	5	True	g000aa0084	300	2400	6	False	1
g000uu5289	2	1	5	5	True	g000aa0089	240	1600	6	False	3
g000uu5292	2	1	5	5	True	g000aa0092	50	600	6	False	3
g000uu5294	2	1	5	5	False	g000aa0094	335	1100	6	False	1
g000uu5295	2	1	5	5	False	g000aa0095	635	2550	6	False	1
g000uu5032	0	1	12	0	True	g000aa5032	220	1750	0	False	3
g000uu5019	0	1	9	0	False	g000aa5019	1750	8500	0	False	1
g000uu5015	0	1	8	0	False	g000aa5015	310	1550	0	False	3
g000uu5020	0	1	9	0	False	g000aa5020	1160	5650	0	False	1
g000uu5021	0	1	9	0	False	g000aa5021	1210	5900	0	False	1
