LMARK_ID	CX	CY
g000mg0004	1	1
g000mg0005	1	1
g000mg0006	3	3
g000mg0007	3	3
g000mg0008	3	3
g000mg0009	3	3
g000mg0010	3	3
g000mg0011	3	3
g000mg0012	3	3
g000mg0013	3	3
g000mg0014	3	3
g000mg0015	1	1
g000mg0016	1	1
g000mg0017	1	1
g000mg0018	1	1
g000mg0019	1	1
g000mg0020	2	2
g000mg0021	2	2
g000mg0022	1	1
g000mg0023	1	1
g000mg0024	2	2
g000mg0031	1	1
g000mg0032	1	1
g000mg0036	1	1
g000mg0037	1	1
g000mg0038	1	1
g000mg0039	1	1
g000mg0040	1	1
g000mg0046	2	2
g000mg0047	2	2
g000mg0048	2	2
g000mg0052	1	1
g000mg0053	1	1
g000mg0054	2	2
g000mg0055	4	4
g000mg0056	3	3
g000mg0057	3	3
g000mg0058	3	3
g000mg0059	3	3
g000mg0060	3	3
g000mg0061	3	3
g000mg0062	3	3
g000mg0063	3	3
g000mg0064	3	3
g000mg0065	1	1
g000mg0070	1	1
g000mg0073	3	3
g000mg0077	4	4
g000mg0078	4	4
g000mg0079	3	3
g000mg0080	3	3
g000mg0081	3	3
g000mg0082	3	3
g000mg0001	3	3
g000mg0002	3	3
g000mg0003	4	4
g000mg0025	3	3
g000mg0026	3	3
g000mg0027	2	2
g000mg0028	2	2
g000mg0029	2	2
g000mg0030	2	2
g000mg0033	2	2
g000mg0034	2	2
g000mg0035	2	2
g000mg0041	3	3
g000mg0042	1	1
g000mg0043	1	1
g000mg0044	1	1
g000mg0045	1	1
g000mg0049	1	1
g000mg0050	1	1
g000mg0083	1	1
g000mg0084	1	1
g000mg0085	1	1
g000mg0086	1	1
g000mg0087	1	1
g000mg0088	1	1
g000mg0089	1	1
g000mg0090	1	1
g000mg0091	1	1
g000mg0092	1	1
g000mg0093	1	1
g000mg0094	1	1
g000mg0095	1	1
g000mg0096	1	1
g000mg0097	1	1
g000mg0098	1	1
g000mg0099	1	1
g000mg0100	1	1
g000mg0101	1	1
g000mg0102	1	1
g000mg0103	1	1
g000mg0104	1	1
g000mg0105	1	1
g000mg0106	1	1
g000mg0107	1	1
g000mg0108	1	1
g000mg0109	1	1
g000mg0110	1	1
g000mg0111	1	1
g000mg0112	1	1
g000mg0113	1	1
g000mg0114	1	1
g000mg0115	1	1
g000mg0116	1	1
g000mg0117	1	1
g000mg0118	1	1
g000mg0119	1	1
g000mg0120	3	3
g000mg0121	3	3
g000mg0122	3	3
g000mg0123	3	3
g000mg0124	3	3
g000mg0125	3	3
g000mg0126	1	1
g000mg0127	1	1
g000mg0128	1	1
g000mg0129	3	3
g000mg0130	3	3
g000mg0131	3	3
g000mg0132	3	3
g000mg0133	3	3
g000mg0134	3	3
g000mg0135	1	1
g000mg0136	1	1
g000mg0137	1	1
g000mg0138	5	5
g000mg0139	5	5
g000mg0140	5	5
g000mg0141	3	3
g000mg0142	3	3
g000mg0143	3	3
g000mg0144	3	3
g000mg0145	3	3
g000mg0146	3	3
g000mg0147	1	1
g000mg0148	1	1
g000mg0149	1	1
g000mg0150	1	1
g000mg0151	3	3
g000mg8001	3	3
g000mg8002	3	3
g000mg8003	3	3
g000mg8004	4	4
g000mg8005	2	2
g000mg8006	2	2
g000mg8007	2	2
g000mg8008	2	2
g000mg8009	2	2
g000mg8010	1	1
g000mg8011	2	2
g000mg8012	2	2
g000mg8013	2	2
g000mg8014	2	2
g000mg8015	2	2
g000mg8019	1	1
g000mg8020	1	1
g000mg8021	1	1
g000mg8022	1	1
g000mg8023	1	1
g000mg8024	1	1
g000mg8025	1	1
g000mg8026	1	1
g000mg8027	1	1
g000mg8028	5	5
g000mg8029	5	5
g000mg8030	5	5
g000mg8031	5	5
g000mg8032	5	5
g000mg8033	5	5
g000mg8034	5	5
g000mg8035	5	5
g000mg8036	5	5
g000mg8037	5	5
g000mg8038	1	1
g000mg8039	1	1
g000mg8040	1	1
g000mg8041	1	1
g000mg8042	1	1
g000mg8043	1	1
g000mg8044	1	1
g000mg8045	1	1
g000mg8046	1	1
g000mg8047	1	1
g000mg8048	1	1
g000mg8049	1	1
g000mg8050	1	1
g000mg8051	1	1
g000mg8052	1	1
g000mg8053	1	1
g000mg8054	1	1
g000mg8055	1	1
g000mg8056	1	1
g000mg8057	3	3
g000mg8058	3	3
g000mg8059	1	1
g000mg8060	1	1
g000mg8061	1	1
g000mg8062	1	1
g000mg8063	1	1
g000mg8064	1	1
g000mg8065	2	2
g000mg8066	1	1
g000mg8067	1	1
g000mg8068	1	1
g000mg8069	2	2
g000mg8070	1	1
g000mg8071	2	2
g000mg8072	1	1
g000mg8073	1	1
g000mg8074	1	1
g000mg8075	1	1
g000mg8076	1	1
g000mg8077	1	1
g000mg8078	1	1
g000mg8079	1	1
g000mg8080	1	1
g000mg8081	1	1
g000mg8082	1	1
g000mg8083	1	1
g000mg8084	1	1
g000mg8085	1	1
g000mg8086	1	1
g000mg8087	1	1
g000mg8088	1	1
g000mg8089	1	1
g000mg8090	1	1
g000mg8091	2	2
g000mg8092	2	2
g000mg8093	2	2
g000mg8094	2	2
G000RU0000000	3	3
G000RU0000001	3	3
G000RU0000002	3	3
G000RU0000003	3	3
G000RU0000004	3	3
G000RU0000005	3	3
G000RU0000006	3	3
G000RU0000007	3	3
G000RU0000008	3	3
G000RU0000009	3	3
G000RU0000010	3	3
G000RU0000011	3	3
G000RU0000012	3	3
G000RU0000013	3	3
G000RU0000014	3	3
G000RU0000015	3	3
G000RU0000016	3	3
G000RU0000017	3	3
G000RU0000018	3	3
G000SI0000MAGE00	3	3
G000SI0000MAGE01	3	3
G000SI0000MAGE02	3	3
G000SI0000MAGE03	3	3
G000SI0000MERH00	3	3
G000SI0000MERH01	3	3
G000SI0000MERH02	3	3
G000SI0000MERH03	3	3
G000SI0000MERH04	3	3
G000SI0000MERH05	3	3
G000SI0000MERH06	3	3
G000SI0000MERH07	3	3
G000SI0000MERC00	3	3
G000SI0000MERC01	3	3
G000SI0000MERC02	3	3
G000SI0000MERC03	3	3
G000SI0000MERC04	3	3
G000SI0000TRAI00	3	3
G000SI0000TRAI01	3	3
G000SI0000TRAI02	3	3
G000SI0000TRAI03	3	3
MOMNE0100	1	1
MOMNE0101	1	1
MOMNE0102	1	1
MOMNE0103	1	1
MOMNE0104	1	1
MOMNE0105	1	1
MOMNE0106	1	1
MOMNE0107	1	1
MOMNE0108	1	1
