#строка, начинающаяся с решетки, игнорируется
#с помощью ReadFromFile 'пробел' 'путь к файлу' можно прочитать данные из другого файла.
#с помощью RemoveLine 'пробел' 'текст' можно удалить из уже прочтенных данных строки,
#которые начинаются с заданного текста без учета регистра.
#Первый столбец - идентификаторы объектов.
#В остальных - допустимые места расстановки объектов (G - земля, W - вода) и расы
# в теге обязателен знак %

#здания
g000mg0001	G	H C E N S		%religious% %natural%
g000mg0002	G	C				%building%
g000mg0003	G	H N S			%building%
g000mg0004	G	L				%building% %natural%
g000mg0005	G	L				%building% %natural%

#водопады
#g000mg0006	G	H L C U E N S
#g000mg0007	G	H L C U E N S

#плато
#g000mg0008	G	H L C U E N S
#g000mg0009	G	H L C U E N S
#g000mg0010	G	H L C U E N S
#g000mg0011	G	H L C U E N S
#g000mg0012	G	H L C U E N S
#g000mg0013	G	H L C U E N S
#g000mg0014	G	H L C U E N S


g000mg0015	G	-
g000mg0016	G	-
g000mg0017	G	-
g000mg0018	G	-
g000mg0019	G	-

#плато
#g000mg0020	G	H L C U E N S
#g000mg0021	G	H L C U E N S


g000mg0022	G	L				%building% %natural%
g000mg0023	G	L				%building% %natural%
g000mg0024	G	L				%natural%
g000mg0025	G	H U N			%graveyard%
g000mg0026	G	H U N			%graveyard%
g000mg0027	G	H U N			%graveyard%
g000mg0028	G	E				%building%
g000mg0029	G	E				%building%
g000mg0030	G	E				%building%
g000mg0031	G	U N S			%graveyard% %marshes%		
g000mg0032	G	H U N S			%graveyard% %marshes%
g000mg0033	G	C				%building%
g000mg0034	G	C				%building%
g000mg0035	G	C				%building%
g000mg0036	G	C				%natural%
g000mg0037	G	C				%natural%
g000mg0038	G	C				%natural%
g000mg0039	G	C				%natural%
g000mg0040	G	C				%natural%
g000mg0041	G	
g000mg0042	G	H				%building% %religious%
g000mg0043	G	H				%building% %religious%
g000mg0044	G	H				%building% %religious%
g000mg0045	G	C				%building% %religious%
g000mg0046	G	
g000mg0047	G	
g000mg0048	G	
g000mg0049	G	C				%building% %religious%
g000mg0050	G	C				%building% %religious%
g000mg0052	G	L				%building% %natural%
g000mg0053	G	L				%building% %natural%
g000mg0054	G	L				%natural%
g000mg0055	G	H L C U E N S	%building%

#плато
#g000mg0056	G	H L C U E N S
#g000mg0057	G	H L C U E N S
#g000mg0058	G	H L C U E N S
#g000mg0059	G	H L C U E N S
#g000mg0060	G	H L C U E N S
#g000mg0061	G	H L C U E N S
#g000mg0062	G	H L C U E N S
#g000mg0063	G	H L C U E N S
#g000mg0064	G	H L C U E N S


g000mg0065	G	U				%building%
g000mg0070	G	H N E			%building% %religious%
g000mg0073	W	H L C U E N S	%natural% %building% %religious% %marshes% %graveyard% %empbuilding% %undbuilding% %undelfbuilding%
g000mg0077	G	H C N			%natural% %building%
g000mg0078	G	L				%building% %natural%

#водопады
#g000mg0079	G	H L C U E N S
#g000mg0080	G	H L C U E N S
#g000mg0081	G	H L C U E N S
#g000mg0082	G	H L C U E N S

g000mg0083	G	H				%building% %religious%
g000mg0084	G	H				%building% %religious%
g000mg0085	G	L N S			%marshes%
g000mg0086	G	L N S			%natural%
g000mg0087	G	L N S			%building%
g000mg0088	G	L N S			%building% %marshes%
g000mg0089	G	L N S			%building% %marshes%
g000mg0090	G	L N S			%natural%
g000mg0091	G	H N				%building%
g000mg0092	G	H N				%building%
g000mg0093	G	H N				%building%
g000mg0094	G	H N				%building%
g000mg0095	G	H N				%building%
